title,quality,style,r18,play,composition,girl,girlAction,male,bgBase,bgTop,bgBottom,girlTop_c,girlBottom_c,girlUnder_c,girlAction_c,clothesStatus,上下フラグ,キャラヘッダフラグ,縦横比,clothesFlg,seed
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","breast focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from front","focus on girl,girl focus,main subject girl,breast","embarrassed,sad,tears,blush,","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","breast focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from side","focus on girl,girl focus,main subject girl,breast","embarrassed,sad,tears,blush,","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","back focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from behind,","focus on girl,girl focus,main subject girl,back","embarrassed,sad,tears,blush,","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","breast focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from front","focus on girl,girl focus,main subject girl,breast","embarrassed,sad,tears,blush,","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","breast focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from side","focus on girl,girl focus,main subject girl,breast","embarrassed,sad,tears,blush,","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","back focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from behind,","focus on girl,girl focus,main subject girl,back","embarrassed,sad,tears,blush,","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","","3","2","","1",""
