title,quality,style,r18,play,composition,girl,girlAction,male,bgBase,bgTop,bgBottom,girlTop_c,girlBottom_c,girlUnder_c,girlAction_c,clothesStatus,上下フラグ,キャラヘッダフラグ,縦横比,clothesFlg,seed
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki,from front,straight-on","focus on girl,girl focus,main subject girl,crotch","stand up","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki,from side","focus on girl,girl focus,main subject girl,thigh","stand up","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,ass focus,back view,rear view,hips","focus on girl,girl focus,main subject girl,hip","stand up","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki,from front,straight-on","focus on girl,girl focus,main subject girl,crotch","stand up","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","open clothes","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki,from side","focus on girl,girl focus,main subject girl,thigh","stand up","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","open clothes","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,ass focus,back view,rear view,hips","focus on girl,girl focus,main subject girl,hip","stand up","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","open clothes","3","2","","1",""
