title,quality,style,r18,play,composition,girl,girlAction,male,bgBase,bgTop,bgBottom,girlTop_c,girlBottom_c,girlUnder_c,girlAction_c,clothesStatus,上下フラグ,キャラヘッダフラグ,縦横比,clothesFlg,seed
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","upper body,from chest up,portrait,medium close-up,upper torso,focus on upper body,from front,straight-on","focus on girl,girl focus,main subject girl,","embarrassed,sad,tears,blush,hugging own body","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","open clothes","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","upper body,from chest up,portrait,medium close-up,upper torso,focus on upper body,from front,straight-on","focus on girl,girl focus,main subject girl,","embarrassed,sad,tears,blush,covering own nipples","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","open clothes","3","2","","1",""
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","upper body,from chest up,portrait,medium close-up,upper torso,focus on upper body,from front,straight-on","focus on girl,girl focus,main subject girl,","embarrassed,sad,tears,blush,grabbing own breasts,","","love hotel,pink room,simple room,no furniture,","pink bed,pink wall,","","simple micro bikini,white bikini,very small bikini,","","","","open clothes","3","2","","1",""
